problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train_10,Craft a beetroot soup.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 BeetrootSoup)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 BeetrootSoup))
)",True
train_11,Craft a boat.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Boat)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Boat))
)",True
train_12,Craft a beetroot soup.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 BeetrootSoup)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 BeetrootSoup))
)",True
train_13,Craft a arrow.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Arrow)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Arrow))
)",True
train_14,Craft a boat.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Boat)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))\n<END>', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Boat))
)",True
train_15,Craft a gold ingot.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 GoldIngot)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 GoldIngot))
)",True
train_16,Craft a sword.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Sword)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Sword))
)",True
train_17,Craft a gold ingot.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 GoldIngot)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 GoldIngot)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 GoldIngot))
)",True
train_18,Craft a arrow.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Arrow)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o23)\n   (object-of-type o23 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))']","(:goal
	(and 
		(inventory-holding i3 o23)
		(object-of-type o23 Arrow))
)",True
train_18,Craft a arrow.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Arrow)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o23)\n   (object-of-type o23 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Arrow))
)",True
train_19,Craft a arrow.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Arrow)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Arrow))
)",True
train_20,Craft a boat.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Boat)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Boat))
)",True
train_21,Craft a wood plank.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 WoodPlank)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 WoodPlank))
)",True
train_22,Craft a wood plank.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 WoodPlank)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 WoodPlank))
)",True
train_23,Craft a wood plank.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 WoodPlank)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 WoodPlank))
)",True
train_24,Craft a stick.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Stick)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Stick)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Stick)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Stick)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Stick)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Stick))
)",True
train_25,Craft a boat.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Boat)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal:\n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Boat))
)",True
train_26,Craft a cooked potato.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 CookedPotato)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 CookedPotato))
)",True
train_27,Craft a wood plank.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 WoodPlank)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 WoodPlank)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 WoodPlank))
)",True
train_28,Craft a arrow.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Arrow)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Arrow))
)",True
train_29,Craft a sword.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Sword)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Sword)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Sword))
)",True
train_30,Craft a bed.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Bed)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bed)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bed)\n ))\n\n<END>', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bed)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bed)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Bed))
)",True
train_31,Craft a arrow.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Arrow)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Arrow)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Arrow))
)",True
train_32,Craft a shears.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Shears)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Shears))
)",True
train_33,Craft a shears.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Shears)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Shears)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Shears))
)",True
train_34,Craft a boat.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Boat)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o23)\n   (object-of-type o23 Boat)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Boat))
)",True
train_34,Craft a boat.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Boat)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o23)\n   (object-of-type o23 Boat)\n ))']","(:goal
	(and 
		(inventory-holding i3 o23)
		(object-of-type o23 Boat))
)",True
train_35,Craft a bowl.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Bowl)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))', 'PDDL Goal:\n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Bowl))
)",True
train_36,Craft a bowl.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Bowl)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))\n\n<END>', 'PDDL Goal:\n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Bowl)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Bowl))
)",True
train_37,Craft a cooked potato.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 CookedPotato)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 CookedPotato))
)",True
train_38,Craft a boat.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Boat)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 Boat)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 Boat))
)",True
train_39,Craft a cooked potato.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 CookedPotato)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 CookedPotato)\n ))']","(:goal
	(and 
		(inventory-holding i3 o24)
		(object-of-type o24 CookedPotato))
)",True
train_40,Craft a beetroot soup.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 BeetrootSoup)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal:\n(:goal (and\n   (inventory-holding i1 o2)\n   (inventory-holding i2 o5)\n   (inventory-holding i3 o24)\n   (object-of-type o2 Beetroot)\n   (object-of-type o5 Bowl)\n   (object-of-type o24 BeetrootSoup)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o24)\n   (object-of-type o24 BeetrootSoup)\n ))']","(:goal
	(and 
		(inventory-holding i1 o2)
		(inventory-holding i2 o5)
		(inventory-holding i3 o24)
		(object-of-type o2 Beetroot)
		(object-of-type o5 Bowl)
		(object-of-type o24 BeetrootSoup))
)",True
