problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_cool_then_place_in_recep-Cup-None-Shelf-1/trial_T20190907_181520_113143,put a chilled glass on the second to the lowest shelf in the corner of the kitchen.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject cup)
(GotoLocation fridge)
(CoolObject cup)
(GotoLocation shelf)
(PutObject cup shelf)","(GotoLocation fridge)
(PickupObject glass)
(ChillObject glass)
(GotoLocation kitchen)
(GotoLocation secondlowestshelf)
(PutObject glass secondlowestshelf)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-DiningTable-24/trial_T20190908_194409_961394,put the chilled slice potato on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(PutObject butterknife diningtable)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation diningtable)
(PutObject potato diningtable)","(PrepareObject potato)
(PutObject potato table)"
train/pick_heat_then_place_in_recep-Mug-None-SideTable-3/trial_T20190908_231853_151753,place a hot cup of coffee near the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation sidetable)
(PutObject mug sidetable)","(GotoLocation coffee_machine)
(PickupObject coffee_cup)
(FillContents coffee_cup coffee_c)
(PickupObject silverware_stand)
(GotoLocation stepstool)
(PickupObject coffee_house)
(GotoLocation coffee_machine)
(Grab coffee_machine coffee_mixer)
(PickupObject microwave)
(Prepare coffee_mixer coffee_c coffee_cup sugar cream)
(GotoLocation sinkbasin)
(CleanObject coffee_cup)
(GotoLocation microwave)
(PutObject coffee_cup microwave)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-DiningTable-27/trial_T20190908_101505_620069,to heat a slice of potato and place it on the white table by the lettuce.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation microwave)
(PutObject butterknife microwave)
(GotoLocation sinkbasin)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation diningtable)
(PutObject potato diningtable)","(GotoLocation lettuce)
(PickupObject potato0)
(PickupObject slicer)
(CutObject potato0 slicer)
(GotoLocation fryingpan)
(GotoLocation microwaveoven)
(PutObject potato0 microwaveoven)
(GotoLocation microwaveoven)
(SwitchOnObject microwaveoven)
(GotoLocation table0)
(PutObject potato0 table0)"
train/pick_cool_then_place_in_recep-Cup-None-Cabinet-26/trial_T20190909_085908_816209,put a chilled cup away in the cabinet above the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject cup)
(GotoLocation fridge)
(CoolObject cup)
(GotoLocation cabinet)
(PutObject cup cabinet)","(DropObject no-object)
(GotoLocation microwaveshelf)
(GotoLocation coffeemachine)
(PickupObject mug)
(ChillObject mug)
(GotoLocation microwaveshelf)
(PutObject mug microwaveshelf)"
train/pick_cool_then_place_in_recep-LettuceSliced-None-SinkBasin-13/trial_T20190908_101527_364763,place sliced lettuce in to the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation lettuce)
(SliceObject lettuce)
(GotoLocation sinkbasin)
(PutObject butterknife sinkbasin)
(GotoLocation countertop)
(PickupObject lettuce)
(GotoLocation fridge)
(CoolObject lettuce)
(GotoLocation sinkbasin)
(PutObject lettuce sinkbasin)","(prepare sink)
(remove-rind lettuce1)
(slice lettuce1 lettuce2)
(move lettuce2 sink)"
train/pick_cool_then_place_in_recep-Egg-None-Microwave-18/trial_T20190909_113607_998821,put chilled egg inside microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject egg)
(GotoLocation fridge)
(CoolObject egg)
(GotoLocation microwave)
(PutObject egg microwave)","(GotoLocation egg)
(PickupObject egg)
(GotoLocation microwave)
(PutObject egg microwave)"
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-17/trial_T20190906_210118_740854,put a microwaved slice of bread in the oven.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject bread)
(GotoLocation countertop)
(PutObject bread countertop)
(PickupObject butterknife)
(SliceObject bread)
(PutObject butterknife countertop)
(PickupObject bread)
(GotoLocation microwave)
(HeatObject bread)
(GotoLocation garbagecan)
(PutObject bread garbagecan)","(GotoLocation microwave)
(PickupObject bread)
(GotoLocation ovenmicrowave)
(PutObject bread ovenmicrowave)"
train/look_at_obj_in_light-Box-None-FloorLamp-205/trial_T20190906_211925_059562,examine a cardboard box better by turning off the light from a floor lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BoxType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation floor)
(GotoLocation lamp)
(GotoLocation cabinet)
(GotoLocation desk)
(GotoLocation floor)
(GotoLocation window)
(GotoLocation lamp)
(GotoLocation carpet)
(GotoLocation cdplayer)
(PickupObject cds)
(GotoLocation table)
(GotoLocation dvdplayer)
(GotoLocation carpet)"
train/look_at_obj_in_light-Vase-None-FloorLamp-221/trial_T20190906_224945_676475,view a vase by the light of a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o VaseType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(ViewObject at-end vase)
(PickupObject lamp)
(PutObject lamp table)
(TurnOnOffObject lamp on)
(ViewObject at-end vase)"
train/pick_and_place_simple-TomatoSliced-None-Fridge-6/trial_T20190907_233305_019895,get the knife from the counter then open and close the fridge door.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation tomato)
(SliceObject tomato)","(GotoLocation fridge)
(PickupObject knife)
(OpenCloseInert door)
(CloseOpenInert door)"
train/pick_cool_then_place_in_recep-Plate-None-Cabinet-22/trial_T20190907_200807_715947,put a plate on bottom shelf in a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PlateType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject plate)
(GotoLocation fridge)
(CoolObject plate)
(GotoLocation cabinet)
(PutObject plate cabinet)","(GotoLocation cabinet)
(PickupObject plate)
(GotoLocation shelf)
(UnlockObject cabinet)
(OpenObject cabinet)
(PutObject plate shelf)"
train/pick_heat_then_place_in_recep-Egg-None-DiningTable-11/trial_T20190907_125404_996063,place a cooked egg on a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation diningtable)
(PutObject egg diningtable)","(GotoLocation stove)
(PickupObject egg)
(GotoLocation countertop)
(CookObject egg)
(GotoLocation table)
(PutObject egg table)"
train/look_at_obj_in_light-AlarmClock-None-DeskLamp-304/trial_T20190907_170557_255365,examine a clock by the light of a desk lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o AlarmClockType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation desk)
(PickupObject alarmclock)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation lamp)
(Lit lamp)
(GotoLocation clock)
(ExamineObject clock)"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233941_496641,use a large metal knife to slice up a tomato on the counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(SliceObject tomato)","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation tomatoes)
(GotoLocation cuttingboard)
(PlaceObject knife cuttingboard)
(CutObject tomatoes knife)"
train/look_at_obj_in_light-Pillow-None-FloorLamp-221/trial_T20190907_103032_102765,examine a purple pillow in the light of a tall lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o PillowType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation sofa)
(PickupObject pillow)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(get-object-action-examine purple_pillow floor)
(get-location-action-bright tall_lamp)
(navigate-object purple_pillow lamp)"
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-202/trial_T20190909_014548_223224,examine a remote control by the light of a tall lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o RemoteControlType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation remotecontrol)
(PickupObject remotecontrol)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation tall-lamp)
(UnplugObjects tall-lamp )
(SwitchObjects On tall-lamp )
(GotoLocation sidetable)
(ExamineObject remote-control sidetable )
(SwitchObjects Off tall-lamp )
(PlugObjects tall-lamp )"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220147_111155,use the knife to cut the lettuce on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation lettuce)
(SliceObject lettuce)","(GotoLocation refrigerator)
(PickupObject knife)
(GotoLocation table)
(CutLettuce knife table)"
train/pick_heat_then_place_in_recep-Apple-None-Fridge-22/trial_T20190908_210352_288346,put a microwaved apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation sinkbasin)
(PickupObject apple)
(GotoLocation kitchen)
(MicrowaveObject apple)
(GotoLocation fridge)
(PutObject apple fridge)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-SinkBasin-19/trial_T20190913_161546_241277,"slice a potato to heat the slice , place potato in sink.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation sinkbasin)
(PutObject butterknife sinkbasin)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)","(GotoLocation sinkbasin)
(PickupObject potato)
(CutObject potato)
(HeatObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)"
train/look_at_obj_in_light-AlarmClock-None-DeskLamp-305/trial_T20190908_082723_323728,examine a clock under the lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o AlarmClockType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation shelf)
(PickupObject alarmclock)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation victoriancouch)
(PickupObject clockwithhands)
(GotoLocation standingfloorlamp)
(ExamineObject clockwithhands standingfloorlamp)
(GotoLocation victoriancouch)
(PutObject clockwithhands victoriancouch)"
train/pick_cool_then_place_in_recep-Bowl-None-DiningTable-4/trial_T20190908_031115_333928,refrigerate a bowl and fork.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BowlType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject bowl)
(GotoLocation fridge)
(CoolObject bowl)
(GotoLocation diningtable)
(PutObject bowl diningtable)","(GotoLocation refrigerator)
(PickupObject bowl)
(PickupObject fork)
(PutObject bowl refrigerator)
(PutObject fork refrigerator)"
train/look_at_obj_in_light-Book-None-DeskLamp-309/trial_T20190907_175916_775742,look at a book using a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BookType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation sidetable)
(PickupObject book)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation table)
(PickupObject book)
(GotoLocation sofa)
(PickupObject lamp)
(GotoLocation table)
(PutObject lamp table)
(GotoLocation sofa)
(PutObject book sofa)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-SinkBasin-14/trial_T20190908_123539_426345,put cooked potato slice in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(PutObject knife sinkbasin)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)","(OpenContainer container1)
(PutObject obj1 container1)
(CloseContainer container1)
(GotoLocation obj2 obj3 obj1)
(OpenContainer container1)
(PickupObject obj2)
(CloseContainer container1)
(GotoLocation obj1)
(OpenContainer obj4)
(PutObject obj4 obj1)
(CloseContainer obj4)
(GotoLocation obj2 obj4)
(PickupObject obj2 obj4)
(GotoLocation obj3 obj1)
(OpenContainer obj4)
(PutObject obj4 obj3)
(CloseContainer obj4)
(GotoLocation obj5 obj5 obj5)"
train/pick_and_place_simple-TomatoSliced-None-SideTable-28/trial_T20190908_213552_035696,slice the tomato on the black stand.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject butterknife)
(GotoLocation tomato)
(SliceObject tomato)","(GotoLocation largebowl)
(PickupObject tomatoes)
(GotoLocation sinkbasin)
(RinseObject tomatoes)
(GotoLocation largebowl)
(CutObject tomatoes)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-CounterTop-22/trial_T20190909_040642_077525,cool a potato slice in the refrigerator.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation fridge)
(PutObject butterknife fridge)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation countertop)
(PutObject potato countertop)","(GotoLocation refrigerator)
(PickupObject potato)
(ShakeObject potato)
(GotoLocation kitchenfrontfloor1)
(PutObject potato kitchenfrontfloor1)
(GotoLocation kitchenfrontfloor2)
(PickupObject potato)
(PutObject potato kitchenfrontfloor2)
(GotoLocation refrigerator)
(PickupObject potato)
(ShakeObject potato)"
