problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_43,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",True,"move-right, move-right, pick-up, mine-coal1","move-right, move-right, pick-up, mine-coal1"
train_45,"(:goal
	(and 
		(inventory-holding i3 o16)
		(object-of-type o16 Wool))
)",False,mine-wool1,
train_50,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,mine-wool1
train_51,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"move-right, move-right, pick-up, mine-feather1","move-right, move-right, pick-up"
train_52,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,
train_53,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",True,"pick-up, move-right, move-right, move-right, mine-beetroot","pick-up, move-right, move-right, move-right, mine-beetroot"
train_54,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,mine-wool1
train_56,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,
train_57,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"move-right, move-right, pick-up, mine-feather1","move-right, move-right, pick-up"
train_63,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,mine-wool1
train_65,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Cobblestone))
)",False,"move-right, move-right, move-right, pick-up, mine-cobble","move-right, move-right, move-right, pick-up"
train_71,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"boat-go, move-left, move-left, pick-up, mine-feather1",
train_73,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wood))
)",False,"boat-go, move-left, move-left, pick-up, move-right, mine-wood",
train_74,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"boat-go, boat-go, pick-up, mine-feather1",
train_75,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"move-right, move-right, pick-up, mine-feather1","move-right, move-right, pick-up"
train_77,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,"move-right, move-right, move-right, boat-go, pick-up, mine-coal1","move-right, move-right, move-right"
train_79,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",False,"boat-go, move-right, move-right, pick-up, mine-gold-ore",
train_82,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wood))
)",False,"move-right, move-right, boat-go, move-right, pick-up, mine-wood","move-right, move-right"
train_85,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,
train_88,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wood))
)",False,"move-right, boat-go, move-right, move-right, pick-up, mine-wood",move-right
train_91,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"boat-go, move-left, move-left, pick-up, mine-feather1",
train_92,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",False,"boat-go, pick-up, move-left, mine-beetroot",
train_99,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"move-right, pick-up, mine-feather1","move-right, pick-up"
