problem_id,attempt_id,sample_percent,goal,success,plan,sampled_operators
train_13,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_14,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",True,"(move-to t1 t9)
(pick-up i1 o14 t9)
(mine-beetroot t9 o8 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_15,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(move-to t1 t10)
(pick-up i1 o11 t10)
(move-to t10 t3)
(mine-gold-ore t3 o9 i1 o11 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_16,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17))
)",True,"(move-to t1 t11)
(pick-up i1 o12 t11)
(mine-wood t11 i1 o12 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_17,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17))
)",True,"(pick-up i1 o9 t1)
(move-to t1 t5)
(mine-potatoes t5 o7 i1 o9 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_18,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o3)
		(object-of-type o3 IronOre))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_19,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(move-to t1 t8)
(pick-up i1 o11 t8)
(move-to t8 t11)
(mine-gold-ore t11 o9 i1 o11 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_20,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",True,"(move-to t1 t11)
(pick-up i1 o14 t11)
(move-to t11 t4)
(mine-beetroot t4 o8 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_21,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(move-to t1 t7)
(pick-up i1 o11 t7)
(move-to t7 t2)
(mine-gold-ore t2 o9 i1 o11 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_22,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17))
)",True,"(move-to t1 t9)
(pick-up i1 o12 t9)
(mine-potatoes t9 o7 i1 o12 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_23,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True,"(move-to t1 t9)
(pick-up i1 o14 t9)
(move-to t9 t3)
(mine-wool1 t3 o6 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_24,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Cobblestone))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_25,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",True,"(pick-up i1 o14 t1)
(move-to t1 t15)
(mine-feather t15 o5 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_26,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o16)
		(object-of-type o17 Feather))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_27,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_28,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",True,"(move-to t1 t14)
(pick-up i1 o14 t14)
(move-to t14 t6)
(mine-feather t6 o5 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_29,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True,"(move-to t1 t15)
(pick-up i1 o14 t15)
(move-to t15 t9)
(harvest-sugar-cane t9 t9 o10 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_30,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_31,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_32,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wood))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_33,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17))
)",True,"(move-to t1 t11)
(pick-up i1 o14 t11)
(mine-feather t11 o5 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_34,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True,"(move-to t1 t2)
(pick-up i1 o3 t2)
(move-to t2 t4)
(mine-potatoes t4 o7 i1 o3 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_35,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True,"(move-to t1 t2)
(pick-up i1 o10 t2)
(move-to t2 t13)
(mine-potatoes t13 o7 i1 o10 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_36,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(move-to t1 t15)
(pick-up i1 o11 t15)
(move-to t15 t4)
(mine-gold-ore t4 o9 i1 o11 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_37,0,1.0,"(:goal
	(and 
		(inventory-holding i1 o6)
		(object-of-type o6 Wool))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_38,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",True,"(move-to t1 t4)
(pick-up i1 o14 t4)
(move-to t4 t2)
(mine-feather t2 o5 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_39,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True,"(move-to t1 t5)
(pick-up i1 o14 t5)
(move-to t5 t6)
(harvest-sugar-cane t6 t6 o10 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_40,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_41,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True,"(move-to t1 t12)
(pick-up i1 o14 t12)
(mine-wool1 t12 o6 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_42,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",True,"(move-to t1 t2)
(pick-up i1 o11 t2)
(move-to t2 t1)
(mine-iron-ore i1 i3 o1 o11 o17 t1)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_43,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,,"['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_44,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(move-to t1 t6)
(pick-up i1 o11 t6)
(move-to t6 t8)
(mine-gold-ore t8 o9 i1 o11 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
train_45,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True,"(move-to t1 t12)
(pick-up i1 o14 t12)
(move-to t12 t2)
(mine-wool1 t2 o6 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
