problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/pick_cool_then_place_in_recep-Lettuce-None-DiningTable-27/trial_T20190907_175045_014819,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o))))\n)', '(InspectObject_2 agent1 loc_bar_2_bar_3_bar_3_bar_60 diningtable__minus_0_dot_848358096_comma__minus_0_dot_848358096_comma_3_dot_524_comma_3_dot_524_comma_0_dot_0886555464_comma_0_dot_0886555464 lettuce__minus_0_dot_784358144_comma__minus_0_dot_784358144_comma_4_dot_87171268_comma_4_dot_87171268_comma_3_dot_4109912_comma_3_dot_4109912)\n(CoolObject_0 agent1 loc_bar_2_bar_3_bar_3_bar_60 diningtable__minus_0_dot_848358096_comma__minus_0_dot_848358096_comma_3_dot_524_comma_3_dot_524_comma_0_dot_0886555464_comma_0_dot_0886555464 lettuce__minus_0_dot_784358144_comma__minus_0_dot_784358144_comma_4_dot_87171268_comma_4_dot_87171268_comma_3_dot_4109912_comma_3_dot_4109912)')",False,"InspectObject_2, CoolObject_0",InspectObject_2
train/pick_heat_then_place_in_recep-Egg-None-SideTable-21/trial_T20190907_045036_700265,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o EggType)\n\t\t(receptacleType ?r SideTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(heatable ?o)\n\t\t(isHot ?o))))\n)', '(InspectObject_2 agent1 loc_bar__minus_1_bar_1_bar_1_bar_45 sidetable_3_dot_0924_comma_3_dot_0924_comma_1_dot_7924_comma_1_dot_7924_comma_2_dot_8004_comma_2_dot_8004 egg_2_dot_4061796_comma_2_dot_4061796_comma_2_dot_035736_comma_2_dot_035736_comma_2_dot_804821016_comma_2_dot_804821016)\n(HeatObject_0 agent1 loc_bar__minus_1_bar_1_bar_1_bar_45 sidetable_3_dot_0924_comma_3_dot_0924_comma_1_dot_7924_comma_1_dot_7924_comma_2_dot_8004_comma_2_dot_8004 egg_2_dot_4061796_comma_2_dot_4061796_comma_2_dot_035736_comma_2_dot_035736_comma_2_dot_804821016_comma_2_dot_804821016)')",False,"InspectObject_2, HeatObject_0",InspectObject_2
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091615_973891,"('(:goal\n\t(exists (?o - object)\n(and \n\t\t(objectType ?o TomatoType)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o)))\n)', '(CutObject_2 agent1 loc_bar_0_bar__minus_9_bar_1_bar_30 tomato_3_dot_065343856_comma_3_dot_065343856_comma__minus_11_dot_178108_comma__minus_11_dot_178108_comma_5_dot_42768432_comma_5_dot_42768432)')",False,CutObject_2,
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091615_973891,"('(:goal\n\t(exists (?o - object)\n(exists (?l - location)\n(and \n\t\t(objectType ?o TomatoType)\n\t\t(objectAtLocation ?o ?l)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))\n)', '(SliceObject_2 agent1 loc_bar_0_bar__minus_9_bar_1_bar_30 tomato_3_dot_065343856_comma_3_dot_065343856_comma__minus_11_dot_178108_comma__minus_11_dot_178108_comma_5_dot_42768432_comma_5_dot_42768432)')",False,SliceObject_2,
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091615_973891,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o TomatoType)\n\t\t(inReceptacle ?o ?r)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))\n)', '(InspectObject_0 agent1 loc_bar_1_bar_5_bar_1_bar_30 tomato_5_dot_10497476_comma_5_dot_10497476_comma_5_dot_0178218_comma_5_dot_0178218_comma_4_dot_966884_comma_4_dot_966884)\n(CutObject_1 agent1 loc_bar_1_bar_5_bar_1_bar_30 tomato_5_dot_10497476_comma_5_dot_10497476_comma_5_dot_0178218_comma_5_dot_0178218_comma_4_dot_966884_comma_4_dot_966884 tomato_5_dot_10497476_comma_5_dot_10497476_comma_5_dot_0178218_comma_5_dot_0178218_comma_4_dot_966884_comma_4_dot_966884)')",False,"InspectObject_0, CutObject_1",InspectObject_0
train/look_at_obj_in_light-TennisRacket-None-DeskLamp-324/trial_T20190907_065446_910042,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?ot DeskLampType)\n\t\t(toggleable ?ot)\n\t\t(isToggled ?ot)\n\t\t(objectAtLocation ?ot ?l)\n\t\t(atLocation ?a ?l)\n\t\t(objectType ?o TennisRacketType)\n\t\t(holds ?a ?o))))))\n)', '(InspectObject_0 agent1 loc_bar_7_bar__minus_3_bar_2_bar_45 desklamp_6_dot_97601748_comma_6_dot_97601748_comma__minus_5_dot_67595912_comma__minus_5_dot_67595912_comma_3_dot_1815324_comma_3_dot_1815324)\n(InspectObject_0 agent1 loc_bar__minus_6_bar__minus_6_bar_0_bar_60 tennisracket__minus_6_dot_388_comma__minus_6_dot_388_comma__minus_5_dot_468_comma__minus_5_dot_468_comma_0_dot_00402465464_comma_0_dot_00402465464)\n(TurnOnLight_0 desklamp_6_dot_97601748_comma_6_dot_97601748_comma__minus_5_dot_67595912_comma__minus_5_dot_67595912_comma_3_dot_1815324_comma_3_dot_1815324 desklamp_6_dot_97601748_comma_6_dot_97601748_comma__minus_5_dot_67595912_comma__minus_5_dot_67595912_comma_3_dot_1815324_comma_3_dot_1815324 agent1 loc_bar_7_bar__minus_3_bar_2_bar_45)')",False,"InspectObject_0, InspectObject_0, TurnOnLight_0",
train/look_at_obj_in_light-TennisRacket-None-DeskLamp-324/trial_T20190907_065446_910042,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(toggleable ?ot)\n\t\t(isToggled ?ot)\n\t\t(objectAtLocation ?ot ?l)\n\t\t(atLocation ?a ?l)\n\t\t(objectType ?o TennisRacketType)\n\t\t(holds ?a ?o))))))\n)', '(PickupObject_0 agent1 loc_bar_7_bar__minus_3_bar_2_bar_45 desklamp_6_dot_97601748_comma_6_dot_97601748_comma__minus_5_dot_67595912_comma__minus_5_dot_67595912_comma_3_dot_1815324_comma_3_dot_1815324)\n(PickupObject_0 agent1 loc_bar__minus_6_bar__minus_6_bar_0_bar_60 tennisracket__minus_6_dot_388_comma__minus_6_dot_388_comma__minus_5_dot_468_comma__minus_5_dot_468_comma_0_dot_00402465464_comma_0_dot_00402465464)\n(TurnOnLight_0 desklamp_6_dot_97601748_comma_6_dot_97601748_comma__minus_5_dot_67595912_comma__minus_5_dot_67595912_comma_3_dot_1815324_comma_3_dot_1815324 desklamp_6_dot_97601748_comma_6_dot_97601748_comma__minus_5_dot_67595912_comma__minus_5_dot_67595912_comma_3_dot_1815324_comma_3_dot_1815324 agent1 loc_bar_7_bar__minus_3_bar_2_bar_45)')",False,"PickupObject_0, PickupObject_0, TurnOnLight_0",
train/pick_clean_then_place_in_recep-Spoon-None-Drawer-5/trial_T20190907_080537_064131,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o SpoonType)\n\t\t(receptacleType ?r DrawerType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(InspectObject_0 agent1 loc_bar_4_bar__minus_5_bar_2_bar_45 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)\n(PutObject_0 agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 drawer__minus_1_dot_7968_comma__minus_1_dot_7968_comma__minus_0_dot_0412_comma__minus_0_dot_0412_comma_3_dot_0_comma_3_dot_0 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)\n(PutObjectInReceptacle agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 spoontype spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176 drawer__minus_1_dot_7968_comma__minus_1_dot_7968_comma__minus_0_dot_0412_comma__minus_0_dot_0412_comma_3_dot_0_comma_3_dot_0)\n(InspectObject_0 agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)\n(CleanObject_0 agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)')",False,"InspectObject_0, PutObject_0, PutObjectInReceptacle, InspectObject_0, CleanObject_0","InspectObject_0, PutObject_0, PutObjectInReceptacle, InspectObject_0"
train/pick_clean_then_place_in_recep-Spoon-None-Drawer-5/trial_T20190907_080537_064131,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(receptacleType ?r DrawerType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(InspectObject_2 agent1 loc_bar_4_bar__minus_5_bar_2_bar_45 countertop_4_dot_64_comma_4_dot_64_comma__minus_8_dot_056_comma__minus_8_dot_056_comma_3_dot_7872_comma_3_dot_7872 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)\n(PutObject_0 agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 drawer__minus_1_dot_7968_comma__minus_1_dot_7968_comma__minus_0_dot_0412_comma__minus_0_dot_0412_comma_3_dot_0_comma_3_dot_0 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)\n(PutObjectInReceptacle agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 spoontype spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176 drawer__minus_1_dot_7968_comma__minus_1_dot_7968_comma__minus_0_dot_0412_comma__minus_0_dot_0412_comma_3_dot_0_comma_3_dot_0)\n(InspectObject_2 agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 drawer__minus_1_dot_7968_comma__minus_1_dot_7968_comma__minus_0_dot_0412_comma__minus_0_dot_0412_comma_3_dot_0_comma_3_dot_0 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)\n(CleanObject_2 agent1 loc_bar_0_bar__minus_2_bar_0_bar_60 spoon_4_dot_777956_comma_4_dot_777956_comma__minus_8_dot_733196_comma__minus_8_dot_733196_comma_3_dot_6497176_comma_3_dot_6497176)')",False,"InspectObject_2, PutObject_0, PutObjectInReceptacle, InspectObject_2, CleanObject_2","InspectObject_2, PutObject_0, PutObjectInReceptacle, InspectObject_2"
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091658_623792,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o TomatoType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))\n)', '(InspectObject_0 agent1 loc_bar__minus_4_bar__minus_5_bar_3_bar_30 knife__minus_7_dot_66187336_comma__minus_7_dot_66187336_comma__minus_4_dot_74660492_comma__minus_4_dot_74660492_comma_5_dot_4606228_comma_5_dot_4606228)\n(CutObject_0 knife__minus_7_dot_66187336_comma__minus_7_dot_66187336_comma__minus_4_dot_74660492_comma__minus_4_dot_74660492_comma_5_dot_4606228_comma_5_dot_4606228 agent1 loc_bar_1_bar_7_bar_1_bar_15 tomato_3_dot_7540184_comma_3_dot_7540184_comma_6_dot_65403176_comma_6_dot_65403176_comma_6_dot_83616448_comma_6_dot_83616448)')",False,"InspectObject_0, CutObject_0","InspectObject_0, CutObject_0"
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091658_623792,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o TomatoType)\n\t\t(receptacleType ?r SideTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))\n)', '(InspectObject_0 agent1 loc_bar_1_bar_7_bar_1_bar_15 tomato_3_dot_7540184_comma_3_dot_7540184_comma_6_dot_65403176_comma_6_dot_65403176_comma_6_dot_83616448_comma_6_dot_83616448)\n(PutObject_0 agent1 loc_bar_1_bar_4_bar_1_bar_45 sidetable_4_dot_088_comma_4_dot_088_comma_3_dot_4844_comma_3_dot_4844_comma_4_dot_9732_comma_4_dot_9732 tomato_3_dot_7540184_comma_3_dot_7540184_comma_6_dot_65403176_comma_6_dot_65403176_comma_6_dot_83616448_comma_6_dot_83616448)\n(PutObjectInReceptacle agent1 loc_bar_1_bar_4_bar_1_bar_45 tomatotype tomato_3_dot_7540184_comma_3_dot_7540184_comma_6_dot_65403176_comma_6_dot_65403176_comma_6_dot_83616448_comma_6_dot_83616448 sidetable_4_dot_088_comma_4_dot_088_comma_3_dot_4844_comma_3_dot_4844_comma_4_dot_9732_comma_4_dot_9732)\n(InspectObject_0 agent1 loc_bar_1_bar_4_bar_1_bar_45 tomato_3_dot_7540184_comma_3_dot_7540184_comma_6_dot_65403176_comma_6_dot_65403176_comma_6_dot_83616448_comma_6_dot_83616448)\n(CutObject_1 agent1 loc_bar_1_bar_4_bar_1_bar_45 tomato_3_dot_7540184_comma_3_dot_7540184_comma_6_dot_65403176_comma_6_dot_65403176_comma_6_dot_83616448_comma_6_dot_83616448 tomato_3_dot_7540184_comma_3_dot_7540184_comma_6_dot_65403176_comma_6_dot_65403176_comma_6_dot_83616448_comma_6_dot_83616448)')",False,"InspectObject_0, PutObject_0, PutObjectInReceptacle, InspectObject_0, CutObject_1","InspectObject_0, PutObject_0, PutObjectInReceptacle, InspectObject_0"
train/pick_clean_then_place_in_recep-SoapBar-None-GarbageCan-421/trial_T20190907_041233_785188,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o SoapBarType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(WashObject_2 agent1 loc_bar__minus_4_bar_13_bar_1_bar_60 soapbar__minus_1_dot_9283412_comma__minus_1_dot_9283412_comma_12_dot_69095136_comma_12_dot_69095136_comma_3_dot_2482788_comma_3_dot_2482788)')",False,WashObject_2,
