problem_id,attempt_id,minimum_n_operators,goal,success,plan,sampled_operators
train_7,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o1 - object)
(exists (?o2 - object)
(and 
		(inventory-holding ?i ?o1)
		(inventory-holding ?i ?o2)
		(object-of-type ?o1 Beetroot)
		(object-of-type ?o2 Bowl)))))
)",False,,"['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_7,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o1 - object)
(exists (?o2 - object)
(and 
		(inventory-holding ?i ?o1)
		(inventory-holding ?i ?o2)
		(object-of-type ?o1 Beetroot)
		(object-of-type ?o2 Bowl)))))
)",False,,"['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_8,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Stick))))
)",True,"(move-to t1 t12)
(pick-up i1 o8 t12)
(move-to t12 t2)
(pick-up i2 o11 t2)
(move-to t2 t5)
(craft-stick_2 t5 o1 i1 o8 i2 o11 i3 o21)","['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_8,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Stick))))
)",True,"(move-to t1 t12)
(pick-up i1 o8 t12)
(move-to t12 t5)
(craft-stick1_1 t5 o1 i1 o8 i1 o8 i2 o21)","['craft-stick1_1', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_8,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Stick))))
)",True,"(move-to t1 t12)
(pick-up i1 o8 t12)
(move-to t12 t1)
(pick-up i2 o13 t1)
(move-to t1 t5)
(craft-stick_1 t5 o1 i1 o8 i2 o13 i3 o21)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_9,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_9,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_9,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_10,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(pick-up i1 o21 t1)
(move-to t1 t12)
(craft-paper_1 t12 o1 i1 o21 i1 o21 i2 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_11,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t10)
(pick-up i1 o10 t10)
(move-to t10 t3)
(pick-up i2 o11 t3)
(move-to t3 t8)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t8)","['craft-stick1_1', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_12,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bowl))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_12,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bowl))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_12,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bowl))))
)",False,,"['craft-stick1_1', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_13,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t2)
(pick-up i1 o21 t2)
(move-to t2 t7)
(craft-paper_1 t7 o1 i1 o21 i1 o21 i2 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_14,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t7)
(pick-up i1 o10 t7)
(move-to t7 t14)
(pick-up i2 o11 t14)
(move-to t14 t10)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t10)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_15,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_15,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_15,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_16,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Sword))))
)",True,"(move-to t1 t11)
(pick-up i1 o10 t11)
(move-to t11 t4)
(pick-up i2 o12 t4)
(move-to t4 t12)
(craft-sword_1 t12 o2 i1 o10 i2 o12 i3 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_17,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bed))))
)",True,"(move-to t1 t15)
(pick-up i1 o9 t15)
(move-to t15 t1)
(pick-up i2 o17 t1)
(move-to t1 t10)
(craft-bed_1 t10 o1 i1 o9 i2 o17 i3 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_18,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Sword))))
)",True,"(move-to t1 t10)
(pick-up i1 o10 t10)
(move-to t10 t1)
(pick-up i2 o12 t1)
(move-to t1 t10)
(craft-sword_1 t10 o2 i1 o10 i2 o12 i3 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_19,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Boat))))
)",True,"(move-to t1 t14)
(pick-up i1 o8 t14)
(craft-boat_0 t14 o6 i1 o8 i1 o8 i2 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_0', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_19,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Boat))))
)",True,"(move-to t1 t14)
(pick-up i1 o8 t14)
(move-to t14 t2)
(pick-up i2 o15 t2)
(move-to t2 t14)
(craft-boat_1 t14 o6 i1 o8 i2 o15 i3 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-beetroot-soup_1', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_19,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Boat))))
)",True,"(move-to t1 t14)
(pick-up i1 o8 t14)
(move-to t14 t2)
(pick-up i2 o15 t2)
(move-to t2 t14)
(craft-boat_1 t14 o6 i1 o8 i2 o15 i3 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_20,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t3)
(pick-up i1 o10 t3)
(move-to t3 t13)
(pick-up i2 o11 t13)
(move-to t13 t9)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t9)","['craft-bowl1_1', 'craft-bowl_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_21,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bowl))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_21,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bowl))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-beetroot-soup_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_21,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bowl))))
)",False,,"['craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_22,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t12)
(pick-up i1 o10 t12)
(move-to t12 t15)
(pick-up i2 o11 t15)
(move-to t15 t7)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t7)","['craft-bowl1_1', 'craft-bowl_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_23,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Sword))))
)",True,"(move-to t1 t15)
(pick-up i1 o10 t15)
(move-to t15 t10)
(pick-up i2 o12 t10)
(move-to t10 t7)
(craft-sword_1 t7 o2 i1 o10 i2 o12 i3 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'craft-cooked-potato_0', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
train_24,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Sword))))
)",True,"(move-to t1 t14)
(pick-up i1 o10 t14)
(move-to t14 t7)
(pick-up i2 o12 t7)
(move-to t7 t6)
(craft-sword_1 t6 o2 i1 o10 i2 o12 i3 o22)","['craft-bowl1_1', 'craft-bowl_1', 'craft-cooked-potato1_0', 'craft-cooked-potato1_2', 'craft-beetroot-soup_2', 'craft-bowl1_2', 'cook-food_0', 'cook-food_2', 'craft-cooked-potato_2', 'craft-cooked-potato_1', 'craft-cooked-potato1_1', 'craft-bowl_0', 'cook-food_1', 'craft-boat_2']"
