problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/pick_and_place_simple-CD-None-Dresser-323/trial_T20190908_005459_168199,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o CDType)\n\t\t(receptacleType ?r DresserType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar_5_bar__minus_12_bar_2_bar_60 cd_5_dot_48739432_comma_5_dot_48739432_comma__minus_13_dot_5_comma__minus_13_dot_5_comma_0_dot_0777675064_comma_0_dot_0777675064)\n(PutObjectInReceptacle agent1 loc_bar_8_bar_6_bar_1_bar_60 cdtype cd_5_dot_48739432_comma_5_dot_48739432_comma__minus_13_dot_5_comma__minus_13_dot_5_comma_0_dot_0777675064_comma_0_dot_0777675064 dresser_10_dot_708_comma_10_dot_708_comma_6_dot_044_comma_6_dot_044_comma__minus_0_dot_016_comma__minus_0_dot_016)')",True,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_and_place_simple-Box-None-DiningTable-223/trial_T20190907_201444_740434,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o BoxType)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar__minus_11_bar__minus_2_bar_3_bar_60 box__minus_13_dot_019784_comma__minus_13_dot_019784_comma__minus_2_dot_209903_comma__minus_2_dot_209903_comma_2_dot_946186_comma_2_dot_946186)\n(PutObjectInReceptacle agent1 loc_bar_8_bar__minus_5_bar_0_bar_60 boxtype box__minus_13_dot_019784_comma__minus_13_dot_019784_comma__minus_2_dot_209903_comma__minus_2_dot_209903_comma_2_dot_946186_comma_2_dot_946186 diningtable_7_dot_536_comma_7_dot_536_comma__minus_1_dot_168_comma__minus_1_dot_168_comma__minus_0_dot_0148_comma__minus_0_dot_0148)')",True,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_and_place_simple-Tomato-None-Microwave-8/trial_T20190907_205050_993517,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o TomatoType)\n\t\t(receptacleType ?r MicrowaveType)\n\t\t(inReceptacle ?o ?r))))\n)', '(PickupObject_0 agent1 loc_bar_3_bar_8_bar_1_bar__minus_15 tomato_5_dot_55385304_comma_5_dot_55385304_comma_7_dot_60457228_comma_7_dot_60457228_comma_7_dot_0413766_comma_7_dot_0413766)\n(PutObjectInReceptacle agent1 loc_bar_2_bar_0_bar_1_bar_30 tomatotype tomato_5_dot_55385304_comma_5_dot_55385304_comma_7_dot_60457228_comma_7_dot_60457228_comma_7_dot_0413766_comma_7_dot_0413766 microwave_5_dot_688_comma_5_dot_688_comma_0_dot_092_comma_0_dot_092_comma_4_dot_6_comma_4_dot_6)')",True,"PickupObject_0, PutObjectInReceptacle","PickupObject_0, PutObjectInReceptacle"
train/pick_heat_then_place_in_recep-AppleSliced-None-DiningTable-21/trial_T20190919_014912_467631,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(heatable ?o)\n\t\t(isHot ?o)\n\t\t(objectAtLocation ?ot ?l)))))\n)', '(PickupObjectInReceptacle agent1 loc_bar__minus_3_bar__minus_14_bar_3_bar_60 apple__minus_5_dot_33635044_comma__minus_5_dot_33635044_comma__minus_14_dot_59040736_comma__minus_14_dot_59040736_comma_0_dot_42295456_comma_0_dot_42295456 garbagecan__minus_5_dot_044_comma__minus_5_dot_044_comma__minus_14_dot_444_comma__minus_14_dot_444_comma__minus_0_dot_1252114_comma__minus_0_dot_1252114)\n(HeatObject_1 stoveburner__minus_8_dot_388_comma__minus_8_dot_388_comma_3_dot_14_comma_3_dot_14_comma_3_dot_564_comma_3_dot_564 agent1 loc_bar__minus_8_bar_0_bar_0_bar_45 apple__minus_5_dot_33635044_comma__minus_5_dot_33635044_comma__minus_14_dot_59040736_comma__minus_14_dot_59040736_comma_0_dot_42295456_comma_0_dot_42295456)')",False,"PickupObjectInReceptacle, HeatObject_1",PickupObjectInReceptacle
train/pick_clean_then_place_in_recep-Cup-None-Cabinet-6/trial_T20190908_165851_769161,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o CupType)\n\t\t(receptacleType ?r CabinetType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar_2_bar_3_bar_3_bar_45 cup__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_3_dot_482644556_comma_3_dot_482644556_comma_3_dot_6348508_comma_3_dot_6348508)\n(PutObjectInReceptacle agent1 loc_bar_2_bar__minus_4_bar_2_bar__minus_30 cuptype cup__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_3_dot_482644556_comma_3_dot_482644556_comma_3_dot_6348508_comma_3_dot_6348508 cabinet_0_dot_596_comma_0_dot_596_comma__minus_6_dot_4136_comma__minus_6_dot_4136_comma_8_dot_03599928_comma_8_dot_03599928)')",False,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_clean_then_place_in_recep-Cup-None-Cabinet-6/trial_T20190908_165851_769161,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(exists (?l - location)\n(and \n\t\t(objectType ?o CupType)\n\t\t(receptacleType ?r CabinetType)\n\t\t(receptacleAtLocation ?r ?l)\n\t\t(inReceptacle ?o ?r)))))\n)', '(GrabObject_0 agent1 loc_bar_2_bar_3_bar_3_bar_45 cup__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_3_dot_482644556_comma_3_dot_482644556_comma_3_dot_6348508_comma_3_dot_6348508)\n(PutObjectInReceptacle agent1 loc_bar_2_bar__minus_4_bar_2_bar__minus_30 cuptype cup__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_3_dot_482644556_comma_3_dot_482644556_comma_3_dot_6348508_comma_3_dot_6348508 cabinet_0_dot_596_comma_0_dot_596_comma__minus_6_dot_4136_comma__minus_6_dot_4136_comma_8_dot_03599928_comma_8_dot_03599928)')",False,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_clean_then_place_in_recep-Cup-None-Cabinet-6/trial_T20190908_165851_769161,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(exists (?l - location)\n(and \n\t\t(receptacleType ?r CabinetType)\n\t\t(inReceptacle ?o ?r)\n\t\t(receptacleAtLocation ?r ?l)\n\t\t(isReceptacleObject ?o)))))\n)', '(GrabObject_0 agent1 loc_bar_2_bar_3_bar_3_bar_45 cup__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_3_dot_482644556_comma_3_dot_482644556_comma_3_dot_6348508_comma_3_dot_6348508)\n(PutObjectInReceptacle agent1 loc_bar_2_bar__minus_4_bar_2_bar__minus_30 cuptype cup__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_3_dot_482644556_comma_3_dot_482644556_comma_3_dot_6348508_comma_3_dot_6348508 cabinet_0_dot_596_comma_0_dot_596_comma__minus_6_dot_4136_comma__minus_6_dot_4136_comma_8_dot_03599928_comma_8_dot_03599928)')",False,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_and_place_simple-CellPhone-None-Desk-327/trial_T20190907_162400_978293,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o CellPhoneType)\n\t\t(receptacleType ?r DeskType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar__minus_1_bar_0_bar_3_bar_60 cellphone__minus_3_dot_8507514_comma__minus_3_dot_8507514_comma_0_dot_2281264_comma_0_dot_2281264_comma_2_dot_447409868_comma_2_dot_447409868)\n(PutObjectInReceptacle agent1 loc_bar_2_bar__minus_6_bar_2_bar_60 cellphonetype cellphone__minus_3_dot_8507514_comma__minus_3_dot_8507514_comma_0_dot_2281264_comma_0_dot_2281264_comma_2_dot_447409868_comma_2_dot_447409868 desk_1_dot_784_comma_1_dot_784_comma__minus_10_dot_104_comma__minus_10_dot_104_comma__minus_0_dot_016_comma__minus_0_dot_016)')",True,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_and_place_simple-CellPhone-None-Drawer-302/trial_T20190907_235412_132976,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o CellPhoneType)\n\t\t(receptacleType ?r DrawerType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar__minus_2_bar__minus_2_bar_3_bar__minus_15 cellphone__minus_4_dot_922724_comma__minus_4_dot_922724_comma__minus_2_dot_412_comma__minus_2_dot_412_comma_7_dot_29774476_comma_7_dot_29774476)\n(PutObjectInReceptacle agent1 loc_bar__minus_2_bar_4_bar_1_bar_60 cellphonetype cellphone__minus_4_dot_922724_comma__minus_4_dot_922724_comma__minus_2_dot_412_comma__minus_2_dot_412_comma_7_dot_29774476_comma_7_dot_29774476 drawer_1_dot_22_comma_1_dot_22_comma_4_dot_904_comma_4_dot_904_comma_1_dot_852_comma_1_dot_852)')",True,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PlungerType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar__minus_10_bar_3_bar_0_bar_60 plunger__minus_12_dot_17401028_comma__minus_12_dot_17401028_comma_6_dot_73406504_comma_6_dot_73406504_comma_0_dot_013557136_comma_0_dot_013557136)\n(PutObjectInReceptacle agent1 loc_bar__minus_10_bar_1_bar_3_bar_60 plungertype plunger__minus_12_dot_17401028_comma__minus_12_dot_17401028_comma_6_dot_73406504_comma_6_dot_73406504_comma_0_dot_013557136_comma_0_dot_013557136 sinkbasin__minus_12_dot_0672_comma__minus_12_dot_0672_comma_0_dot_87_comma_0_dot_87_comma_3_dot_4988_comma_3_dot_4988)')",False,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PlungerType)\n\t\t(receptacleType ?r CabinetType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar__minus_10_bar_3_bar_0_bar_60 plunger__minus_12_dot_17401028_comma__minus_12_dot_17401028_comma_6_dot_73406504_comma_6_dot_73406504_comma_0_dot_013557136_comma_0_dot_013557136)\n(PutObjectInReceptacle agent1 loc_bar__minus_7_bar_0_bar_3_bar_45 plungertype plunger__minus_12_dot_17401028_comma__minus_12_dot_17401028_comma_6_dot_73406504_comma_6_dot_73406504_comma_0_dot_013557136_comma_0_dot_013557136 cabinet__minus_11_dot_04684_comma__minus_11_dot_04684_comma_2_dot_399622_comma_2_dot_399622_comma_1_dot_7867198_comma_1_dot_7867198)')",True,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_clean_then_place_in_recep-Pot-None-Shelf-1/trial_T20190908_001818_534745,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotType)\n\t\t(receptacleType ?r ShelfType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar__minus_5_bar__minus_7_bar_3_bar_60 pot__minus_6_dot_82172252_comma__minus_6_dot_82172252_comma__minus_6_dot_96076868_comma__minus_6_dot_96076868_comma_0_dot_562260152_comma_0_dot_562260152)\n(PutObjectInReceptacle agent1 loc_bar_5_bar__minus_6_bar_2_bar_45 pottype pot__minus_6_dot_82172252_comma__minus_6_dot_82172252_comma__minus_6_dot_96076868_comma__minus_6_dot_96076868_comma_0_dot_562260152_comma_0_dot_562260152 shelf_7_dot_21759892_comma_7_dot_21759892_comma__minus_10_dot_2516_comma__minus_10_dot_2516_comma_2_dot_1681444_comma_2_dot_1681444)')",False,"GrabObject_0, PutObjectInReceptacle",
