problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train_30,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t7)
(pick-up i1 o18 t7)
(move-to t7 t12)
(pick-up i2 o15 t12)
(move-to t12 t14)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t14)","(move-to t1 t10)
(pick-up i1 o4 t10)
(move-to t10 t7)
(craft-cooked-potato t7 o1 i1 o4 o21)"
train_32,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t10)
(pick-up i1 o9 t10)
(move-to t10 t2)
(craft-bowl1 i1 i3 o7 o9 o23 t2)","(move-to t1 t3)
(pick-up i1 o12 t3)
(move-to t3 t6)
(pick-up i2 o13 t6)
(move-to t6 t14)
(craft-bowl i1 i2 i3 o2 o12 o13 o21 t14)
"
train_35,Craft a boat.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Boat)) ))
 )","(move-to t1 t8)
(pick-up i1 o9 t8)
(move-to t8 t10)
(craft-boat i1 i3 o6 o9 o24 t10)","(move-to t1 t4)
(pick-up i1 o8 t4)
(move-to t4 t13)
(move-to t13 t8)
(pick-up i2 o15 t8)
(move-to t8 t11)
(move-to t11 t8)
(craft-boat i1 i2 o5 o8 o9 o15 t8)"
train_36,Craft a boat.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Boat)) ))
 )","(move-to t1 t14)
(pick-up i1 o9 t14)
(move-to t14 t8)
(craft-boat i1 i3 o6 o9 o24 t8)","(move-to t1 t4)
(pick-up i1 o9 t4)
(move-to t4 t15)
(pick-up i2 o12 t15)
(move-to t15 t19)
(pick-up i3 o11 t19)
(craft-boat t19 o1 i1 o9 i2 o12 i3 o11 i4 o22)
"
train_37,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t7)
(pick-up i1 o9 t7)
(move-to t7 t11)
(craft-stick i1 i3 o1 o9 o23 t11)","(move-to t1 t2)
(pick-up i1 o8 t2)
(move-to t2 t7)
(craft-stick i1 o7 o8 o15 t7)
"
train_38,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t11)
(pick-up i1 o19 t11)
(move-to t11 t7)
(pick-up i2 o20 t7)
(move-to t7 t9)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t9)","(move-to t1 t5)
(pick-up i1 o10 t5)
(move-to t5 t9)
(pick-up i2 o11 t9)
(move-to t9 t8)
(pick-up i3 o12 t8)
(move-to t8 t7)
(move-to t7 t6)
(move-to t6 t3)
(craft-beetroot-soup t3 o1 i1 o10 i2 o11 i3 o12 i4 o23)
"
train_40,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t14)
(pick-up i1 o19 t14)
(move-to t14 t6)
(pick-up i2 o20 t6)
(move-to t6 t3)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t3)","(move-to t1 t5)
(move-to t5 t2)
(pick-up i1 o5 t2)
(move-to t2 t6)
(pick-up i2 o17 t6)
(craft-beetroot-soup t6 o1 i1 o5 i2 o17 i3 o22)
"
train_43,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t12)
(pick-up i1 o19 t12)
(move-to t12 t5)
(pick-up i2 o20 t5)
(move-to t5 t14)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t14)","(move-to t1 t8)
(pick-up i1 o5 t8)
(move-to t8 t7)
(pick-up i2 o6 t7)
(move-to t7 t6)
(pick-up i3 o7 t6)
(move-to t6 t2)
(craft-beetroot-soup t2 o1 i1 o5 i2 o6 i3 o7 i4 o23)
"
train_44,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t6)
(pick-up i1 o9 t6)
(move-to t6 t6)
(craft-bowl1 i1 i3 o7 o9 o23 t6)","(move-to t1 t6)
(pick-up i1 o5 t6)
(move-to t6 t2)
(pick-up i2 o3 t2)
(move-to t2 t5)
(craft-bowl t5 o1 i1 o5 i2 o3 i3 o13)
"
train_46,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t1)
(pick-up i1 o9 t1)
(move-to t1 t15)
(craft-bowl1 i1 i3 o7 o9 o23 t15)","(pick-up i1 o5 t1)
(move-to t1 t9)
(pick-up i2 o6 t9)
(move-to t9 t4)
(craft-bowl i1 i2 o3 o5 o6 t4)
"
train_48,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t14)
(pick-up i1 o9 t14)
(move-to t14 t15)
(craft-bowl1 i1 i3 o7 o9 o23 t15)","(move-to t1 t9)
(move-to t8 t9)
(pick-up i1 o7 t9)
(move-to t9 t6)
(craft-bowl i1 i2 o1 o7 o21 t6)
"
train_52,Craft a boat.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Boat)) ))
 )","(move-to t1 t3)
(pick-up i1 o9 t3)
(move-to t3 t13)
(craft-boat i1 i3 o6 o9 o24 t13)","(move-to t1 t7)
(pick-up i1 o4 t7)
(move-to t7 t10)
(pick-up i2 o5 t10)
(move-to t10 t3)
(pick-up i3 o6 t3)
(move-to t3 t8)
(craft-boat t8 o1 i1 o4 i2 o5 i3 o6 i4 o23)
"
train_59,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t12)
(pick-up i1 o18 t12)
(move-to t12 t12)
(pick-up i2 o15 t12)
(move-to t12 t1)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t1)","(move-to t1 t5)
(pick-up i1 o2 t5)
(move-to t5 t2)
(pick-up i2 o5 t2)
(move-to t2 t3)
(craft-cooked-potato t3 o1 i1 o2 i2 o5 i3 o12)
"
train_63,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t3)
(pick-up i1 o18 t3)
(move-to t3 t2)
(pick-up i2 o15 t2)
(move-to t2 t2)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t2)","(move-to t1 t6)
(pick-up i1 o15 t6)
(move-to t6 t7)
(pick-up i2 o14 t7)
(move-to t7 t8)
(cook-potato t8 o1 i1 o15 i2 o14 i3 o21)
"
train_65,Craft a boat.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Boat)) ))
 )","(move-to t1 t9)
(pick-up i1 o9 t9)
(move-to t9 t11)
(craft-boat i1 i3 o6 o9 o24 t11)","(move-to t1 t6)
(pick-up i1 o10 t6)
(move-to t6 t10)
(pick-up i2 o9 t10)
(move-to t10 t15)
(craft-boat t15 o1 i1 o10 i2 o9 i3 o23)
"
train_67,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t1)
(pick-up i1 o9 t1)
(move-to t1 t5)
(craft-stick i1 i3 o1 o9 o23 t5)","(move-to t1 t10)
(pick-up i1 o12 t10)
(craft-stick t10 o2 i1 o12)"
train_69,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t12)
(pick-up i1 o19 t12)
(move-to t12 t3)
(pick-up i2 o20 t3)
(move-to t3 t6)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t6)","(move-to t1 t5)
(pick-up i1 o31 t5)
(move-to t5 t7)
(pick-up i2 o32 t7)
(move-to t7 t4)
(craft-soup o3 i1 o31 o32 o4 t4)
"
train_70,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t4)
(pick-up i1 o9 t4)
(move-to t4 t15)
(craft-stick i1 i3 o1 o9 o23 t15)","(move-to t1 t13)
(pick-up i1 o12 t13)
(move-to t13 t5)
(craft-stick t5 o2 i1 o12)"
train_75,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t2)
(pick-up i1 o19 t2)
(move-to t2 t13)
(pick-up i2 o20 t13)
(move-to t13 t3)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t3)","(move-to t1 t5)
(pick-up i1 o10 t5)
(pick-up i2 o11 t5)
(move-to t5 t2)
(craft-beetroot-soup t2 o5 i1 o10 i2 o11 o12 t4)
"
train_78,Craft a boat.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Boat)) ))
 )","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t11)
(craft-boat i1 i3 o6 o9 o24 t11)","(move-to t1 t10)
(pick-up i1 o8 t10)
(move-to t10 t5)
(pick-up i2 o16 t5)
(move-to t5 t8)
(craft-boat t8 o3 i1 o8 i2 o16 i3 o22)
"
train_81,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t15)
(pick-up i1 o19 t15)
(move-to t15 t10)
(pick-up i2 o20 t10)
(move-to t10 t2)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t2)","(move-to t1 t4)
(pick-up i1 o19 t4)
(move-to t4 t7)
(pick-up i2 o20 t7)
(move-to t7 t8)
(pick-up i3 o21 t8)
(move-to t8 t10)
(craft-beetroot-soup i1 i2 i3 o18 o19 o20 o21 o23 t10)
"
train_84,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t14)
(pick-up i1 o9 t14)
(move-to t14 t14)
(craft-stick i1 i3 o1 o9 o23 t14)","(move-to t1 t5)
(pick-up i1 o4 t5)
(move-to t5 t2)
(craft-stick1 t2 o2 i1 o4 i2 o13)
"
train_85,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t3)
(pick-up i1 o9 t3)
(move-to t3 t14)
(craft-bowl1 i1 i3 o7 o9 o23 t14)","(move-to t1 t3)
(pick-up i1 o5 t3)
(move-to t3 t8)
(pick-up i2 o6 t8)
(move-to t8 t13)
(craft-bowl o3 i1 o5 i2 o6 o23 t13)
"
train_88,Craft a boat.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Boat)) ))
 )","(move-to t1 t13)
(pick-up i1 o9 t13)
(move-to t13 t12)
(craft-boat i1 i3 o6 o9 o24 t12)","(move-to t1 t14)
(pick-up i1 o8 t14)
(move-to t14 t7)
(craft-wood-plank i1 i2 o1 o8 o21 t7)
(move-to t7 t9)
(pick-up i2 o21 t9)
(move-to t9 t5)
(craft-paper t5 o2 i2 o21 i1 o21 i2 o22)
(move-to t5 t3)
(pick-up i3 o22 t3)
(move-to t3 t10)
(craft-boat t10 o3 i1 o8 i2 o21 i3 o22)
"
train_89,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t5)
(craft-stick i1 i3 o1 o9 o23 t5)","(move-to t1 t9)
(pick-up i1 o10 t9)
(move-to t9 t2)
(pick-up i2 o13 t2)
(move-to t2 t7)
(craft-stick t7 o2 i1 o10 i2 o13 i3 o22)"
train_90,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t6)
(pick-up i1 o18 t6)
(move-to t6 t13)
(pick-up i2 o15 t13)
(move-to t13 t11)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t11)","(move-to t1 t5)
(pick-up i1 o8 t5)
(move-to t5 t2)
(pick-up i2 o11 t2)
(move-to t2 t9)
(craft-cooked-potato t9 o1 i1 o8 i2 o11 o21)
"
train_93,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t4)
(pick-up i1 o9 t4)
(move-to t4 t7)
(craft-bowl1 i1 i3 o7 o9 o23 t7)","(move-to t1 t4)
(pick-up i1 o8 t4)
(move-to t4 t7)
(move-to t7 t11)
(craft-bowl i1 i2 i3 o1 o8 o9 o10 o21 t11)
"
train_95,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t2)
(pick-up i1 o9 t2)
(move-to t2 t15)
(craft-stick i1 i3 o1 o9 o23 t15)","(move-to t1 t8)
(move-to t8 t2)
(pick-up i1 o7 t2)
(move-to t2 t7)
(craft-stick t7 o3 i1 o7 o15 i2 o20)
"
train_96,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t10)
(pick-up i1 o9 t10)
(move-to t10 t4)
(craft-bowl1 i1 i3 o7 o9 o23 t4)","(move-to t1 t5)
(pick-up i1 o3 t5)
(move-to t5 t6)
(craft-bowl1 o4 i1 o3 i3 o24 t6)
"
train_97,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t1)
(pick-up i1 o9 t1)
(move-to t1 t5)
(craft-stick i1 i3 o1 o9 o23 t5)","(move-to t1 t6)
(pick-up i1 o7 t6)
(move-to t6 t2)
(craft-stick t2 o1 i1 o7)"
train_98,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t11)
(pick-up i1 o18 t11)
(move-to t11 t11)
(pick-up i2 o15 t11)
(move-to t11 t1)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t1)","(move-to t1 t8)
(pick-up i1 o15 t8)
(move-to t8 t4)
(pick-up i2 o16 t4)
(move-to t4 t2)
(cook-potato i1 i2 i3 o3 o15 o16 o23 t2)
"
train_99,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t6)
(pick-up i1 o18 t6)
(move-to t6 t15)
(pick-up i2 o15 t15)
(move-to t15 t10)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t10)","(move-to t1 t8)
(pick-up i1 o5 t8)
(move-to t8 t7)
(craft-cooked-potato t7 o3 i1 o5 i2 o16 i3 o20)
"
