problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_23,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t9)\n(pick-up i1 o14 t9)\n(move-to t9 t3)\n(mine-wool_1 t3 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_24,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Cobblestone))\n)', '(pick-up i1 o11 t1)\n(move-to t1 t3)\n(mine-cobblestone_1 t3 o3 i1 o11 i3 o17)')",True,"pick-up, move-to, mine-cobblestone_1","pick-up, move-to, mine-cobblestone_1"
train_25,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t4)\n(pick-up i1 o13 t4)\n(move-to t4 t15)\n(mine-feather1_0 t15 o5 i1 o13 i3 o17)')",True,"move-to, pick-up, move-to, mine-feather1_0","move-to, pick-up, move-to, mine-feather1_0"
train_25,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(pick-up i1 o14 t1)\n(move-to t1 t15)\n(mine-feather3_1_0 t15 o5 i1 o14 i3 o17)')",False,"pick-up, move-to, mine-feather3_1_0","pick-up, move-to"
train_26,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t14)\n(pick-up i1 o12 t14)\n(move-to t14 t7)\n(mine-feather_1 t7 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather_1","move-to, pick-up, move-to"
train_26,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t14)\n(pick-up i1 o13 t14)\n(move-to t14 t7)\n(mine-feather1_0 t7 o5 i1 o13 i3 o17)')",True,"move-to, pick-up, move-to, mine-feather1_0","move-to, pick-up, move-to, mine-feather1_0"
train_26,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t6)\n(pick-up i1 o14 t6)\n(move-to t6 t7)\n(mine-feather3_1_1 t7 o5 i1 o14 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather3_1_1","move-to, pick-up, move-to"
train_27,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t15)\n(pick-up i1 o11 t15)\n(move-to t15 t7)\n(mine-coal_2 t7 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_28,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t10)\n(pick-up i1 o12 t10)\n(move-to t10 t6)\n(mine-feather_1 t6 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather_1","move-to, pick-up, move-to"
train_28,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t11)\n(pick-up i1 o13 t11)\n(move-to t11 t6)\n(mine-feather1_0 t6 o5 i1 o13 i3 o17)')",True,"move-to, pick-up, move-to, mine-feather1_0","move-to, pick-up, move-to, mine-feather1_0"
train_28,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t10)\n(pick-up i1 o12 t10)\n(move-to t10 t6)\n(mine-feather_0_1 t6 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather_0_1","move-to, pick-up, move-to"
train_29,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t12)\n(pick-up i1 o12 t12)\n(move-to t12 t9)\n(mine-sugar-cane_0 t9 o10 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-sugar-cane_0","move-to, pick-up, move-to, mine-sugar-cane_0"
train_30,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t13)\n(pick-up i1 o11 t13)\n(move-to t13 t8)\n(mine-coal_2 t8 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_31,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t12)\n(pick-up i1 o11 t12)\n(move-to t12 t5)\n(mine-coal_2 t5 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_32,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wood))\n)', '(move-to t1 t4)\n(pick-up i1 o12 t4)\n(move-to t4 t15)\n(mine-wood_0 t15 o4 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-wood_0","move-to, pick-up, move-to, mine-wood_0"
train_33,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t11)\n(pick-up i1 o14 t11)\n(move-to t11 t13)\n(mine-wool_1 t13 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_34,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(move-to t1 t2)\n(pick-up i1 o3 t2)\n(move-to t2 t4)\n(mine-potato_0 t4 o7 i1 o3 i3 o17)')",True,"move-to, pick-up, move-to, mine-potato_0","move-to, pick-up, move-to, mine-potato_0"
train_35,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t3)\n(pick-up i1 o11 t3)\n(move-to t3 t11)\n(mine-iron-ore i1 i3 o1 o11 o17 t11)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_36,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t15)\n(pick-up i1 o11 t15)\n(move-to t15 t4)\n(mine-gold-ore_0 t4 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_37,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t6)\n(pick-up i1 o14 t6)\n(move-to t6 t11)\n(mine-wool_1 t11 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_38,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t2)\n(pick-up i1 o13 t2)\n(mine-feather1_0 t2 o5 i1 o13 i3 o17)')",True,"move-to, pick-up, mine-feather1_0","move-to, pick-up, mine-feather1_0"
train_39,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t5)\n(pick-up i1 o14 t5)\n(move-to t5 t6)\n(mine-sugar-cane1_2 t6 o10 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-sugar-cane1_2","move-to, pick-up, move-to, mine-sugar-cane1_2"
train_40,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t13)\n(pick-up i1 o11 t13)\n(move-to t13 t10)\n(mine-coal_2 t10 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_41,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t12)\n(pick-up i1 o14 t12)\n(mine-wool_1 t12 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, mine-wool_1","move-to, pick-up, mine-wool_1"
train_42,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t2)\n(pick-up i1 o11 t2)\n(move-to t2 t1)\n(mine-iron-ore i1 i3 o1 o11 o17 t1)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_43,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t3)\n(pick-up i1 o11 t3)\n(mine-coal_2 t3 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, mine-coal_2","move-to, pick-up, mine-coal_2"
train_44,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t6)\n(pick-up i1 o11 t6)\n(move-to t6 t8)\n(mine-gold-ore_0 t8 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_45,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t12)\n(pick-up i1 o14 t12)\n(move-to t12 t2)\n(mine-wool_1 t2 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_46,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t8)\n(pick-up i1 o11 t8)\n(move-to t8 t4)\n(mine-iron-ore i1 i3 o1 o11 o17 t4)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_47,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t9)\n(pick-up i1 o11 t9)\n(move-to t9 t5)\n(mine-coal_2 t5 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_48,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(pick-up i1 o13 t1)\n(move-to t1 t14)\n(mine-potato_0 t14 o7 i1 o13 i3 o17)')",True,"pick-up, move-to, mine-potato_0","pick-up, move-to, mine-potato_0"
train_49,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t5)\n(pick-up i1 o12 t5)\n(move-to t5 t12)\n(mine-sugar-cane_0 t12 o10 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-sugar-cane_0","move-to, pick-up, move-to, mine-sugar-cane_0"
train_50,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t7)\n(pick-up i1 o14 t7)\n(move-to t7 t1)\n(mine-wool_1 t1 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_51,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t3)\n(pick-up i1 o12 t3)\n(move-to t3 t7)\n(mine-feather_0 t7 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather_0","move-to, pick-up, move-to"
train_51,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t15)\n(pick-up i1 o13 t15)\n(move-to t15 t7)\n(mine-feather1_0 t7 o5 i1 o13 i3 o17)')",True,"move-to, pick-up, move-to, mine-feather1_0","move-to, pick-up, move-to, mine-feather1_0"
train_51,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t3)\n(pick-up i1 o12 t3)\n(move-to t3 t7)\n(mine-feather_0_1 t7 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather_0_1","move-to, pick-up, move-to"
train_52,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t10)\n(pick-up i1 o14 t10)\n(move-to t10 t4)\n(mine-wool_1 t4 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_53,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(pick-up i1 o14 t1)\n(move-to t1 t4)\n(mine-beetroot_1 t4 o8 i1 o14 i3 o17)')",True,"pick-up, move-to, mine-beetroot_1","pick-up, move-to, mine-beetroot_1"
train_54,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t3)\n(pick-up i1 o14 t3)\n(move-to t3 t1)\n(mine-wool_1 t1 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_55,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t4)\n(pick-up i1 o11 t4)\n(move-to t4 t13)\n(mine-gold-ore_0 t13 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_56,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t5)\n(pick-up i1 o14 t5)\n(move-to t5 t13)\n(mine-wool_1 t13 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_57,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t3)\n(pick-up i1 o12 t3)\n(move-to t3 t1)\n(mine-feather1_1 t1 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather1_1","move-to, pick-up, move-to"
train_57,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t10)\n(pick-up i1 o13 t10)\n(move-to t10 t1)\n(mine-feather1_0 t1 o5 i1 o13 i3 o17)')",True,"move-to, pick-up, move-to, mine-feather1_0","move-to, pick-up, move-to, mine-feather1_0"
train_57,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t3)\n(pick-up i1 o12 t3)\n(move-to t3 t1)\n(mine-feather_0_2 t1 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather_0_2","move-to, pick-up, move-to"
train_58,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(pick-up i1 o9 t1)\n(move-to t1 t7)\n(mine-potato_0 t7 o7 i1 o9 i3 o17)')",True,"pick-up, move-to, mine-potato_0","pick-up, move-to, mine-potato_0"
train_59,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(pick-up i1 o4 t1)\n(move-to t1 t14)\n(mine-potato_0 t14 o7 i1 o4 i3 o17)')",True,"pick-up, move-to, mine-potato_0","pick-up, move-to, mine-potato_0"
train_60,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(pick-up i1 o3 t1)\n(move-to t1 t3)\n(mine-beetroot_1 t3 o8 i1 o3 i3 o17)')",True,"pick-up, move-to, mine-beetroot_1","pick-up, move-to, mine-beetroot_1"
train_61,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(pick-up i1 o2 t1)\n(move-to t1 t11)\n(mine-potato_0 t11 o7 i1 o2 i3 o17)')",True,"pick-up, move-to, mine-potato_0","pick-up, move-to, mine-potato_0"
train_62,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t14)\n(pick-up i1 o11 t14)\n(move-to t14 t6)\n(mine-coal_2 t6 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_63,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t5)\n(pick-up i1 o14 t5)\n(move-to t5 t1)\n(mine-wool_1 t1 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_64,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wood))\n)', '(move-to t1 t13)\n(pick-up i1 o12 t13)\n(move-to t13 t8)\n(mine-wood_0 t8 o4 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-wood_0","move-to, pick-up, move-to, mine-wood_0"
train_65,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Cobblestone))\n)', '(move-to t1 t4)\n(pick-up i1 o11 t4)\n(move-to t4 t2)\n(mine-cobblestone_1 t2 o3 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-cobblestone_1","move-to, pick-up, move-to, mine-cobblestone_1"
train_66,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t14)\n(pick-up i1 o11 t14)\n(move-to t14 t3)\n(mine-iron-ore i1 i3 o1 o11 o17 t3)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_67,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t12)\n(pick-up i1 o11 t12)\n(move-to t12 t8)\n(mine-coal_2 t8 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_68,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t12)\n(pick-up i1 o11 t12)\n(move-to t12 t10)\n(mine-iron-ore i1 i3 o1 o11 o17 t10)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
